0.9956,1.005,0.9977
0.7668,0.7618,0.7679
0.4102,0.401,0.4149
0.1437,0.1447,0.1428
0.1128,0.1148,0.1226
0.3077,0.316,0.3032
0.6491,0.6412,0.6269
0.9486,0.9188,0.9431
1.001,0.9971,0.9748
0.9664,0.952,0.9628
1.0057,0.9982,1.0067
0.8215,0.8178,0.8122
0.413,0.4127,0.4118
0.1529,0.1511,0.1498
0.0873,0.0846,0.0878
0.2631,0.2681,0.269
0.61,0.6052,0.6128
0.8945,0.9201,0.9195
0.6385,0.6556,0.6385
0.9792,0.9998,0.9704
1.0579,1.0542,1.0694
0.8035,0.8436,0.8005
0.4387,0.45,0.4381
0.1499,0.1476,0.1479
0.0872,0.0838,0.0866
0.3,0.2921,0.3056
0.6745,0.6925,0.6841
0.3394,0.343,0.3349
0.7121,0.7296,0.7138
1.0346,1.0213,1.0344
1.0987,1.0963,1.1053
0.8214,0.8046,0.8111
0.4572,0.4642,0.4667
0.1947,0.1932,0.1997
0.132,0.1284,0.1271
0.3422,0.3319,0.341
0.1401,0.1475,0.1419
0.3462,0.3434,0.3518
0.7089,0.7085,0.6972
1.0735,1.0927,1.0837
1.0162,1.0274,1.0231
0.841,0.8266,0.8394
0.5331,0.5264,0.5328
0.2304,0.2401,0.2414
0.1463,0.1378,0.1377
